stage18_run_id,comparison_id,matching_method,model_seed,left_checkpoint_step,right_checkpoint_step,side,cell_id,circuit_id,mask_sha256,fidelity,retained_components,unmatched_reason
stage18-scaling-24a9adb84176,s0-step3400-to-step8150,matched_sparsity,0,3400,8150,right,s0-step8150-f99of100-d1of2,C4,03d98a98eec63edb59144805d49ee8165de9ab7d4d3f87ae22f64fd6bce1ccd6,0.990523925131177,86,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step8150,matched_sparsity,0,3400,8150,right,s0-step8150-f99of100-d1of2,C3,fe6f4caba153dcf81cc949d5796bf0c0e3399cb5f56582ad27b7d192cb13327e,0.9903672957945023,87,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step8150,matched_sparsity,0,3400,8150,right,s0-step8150-f99of100-d1of2,C7,323c027efa1aa6204405a1c99e8ea487d23af176ac85386765a17a62e2ce9e77,0.9902106664578275,87,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step8150,matched_sparsity,0,3400,8150,right,s0-step8150-f99of100-d1of2,C6,f62ae283c83797dd3a31b37641ce80189c0e94d13e85c7b2f676d4f3fc595ec7,0.9900540371211528,88,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step8500,matched_fidelity,0,3400,8500,right,s0-step8500-f99of100-d1of2,C5,11eca6693c0facd2344f2d252213c4916540fc0f2cfe0cc408c72e5f4395eb9f,0.9902106664578275,76,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step8500,matched_fidelity,0,3400,8500,right,s0-step8500-f99of100-d1of2,C7,812ae19b8b8aad75bf1623958c168c030e666d1d61105710f6b79accf7a9697f,0.9902106664578275,79,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step8500,matched_fidelity,0,3400,8500,right,s0-step8500-f99of100-d1of2,C4,f9321b2d44096dc7d31ec3150276a4e45bf01222bf4ee6e568fd85dc7b75c8d4,0.9902889811261649,76,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step8500,matched_fidelity,0,3400,8500,right,s0-step8500-f99of100-d1of2,C6,66fa418d81c9780ef73b62f3237b2d92d90c22e04ad255ec6281bd9435e4bb4c,0.9903672957945023,75,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step8500,matched_fidelity,0,3400,8500,right,s0-step8500-f99of100-d1of2,C3,8ce0d379ad9dac61ff9fc7abb3ea1c6b75bbf777b5c445879532d70959ec7cb5,0.990523925131177,76,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step8500,matched_fidelity,0,3400,8500,right,s0-step8500-f99of100-d1of2,C2,3d462e39da25353676b49cd7adcaea337bea4a4c62217a0d14fe32ad598b5413,0.9906022397995145,82,empty_opposing_family
