between_group_minimum_distance,cell_id,cell_index,complete_linkage_valid,group_count,group_id,ordered_members_json,source_run_id,source_stage,tolerance,tolerance_denominator,tolerance_numerator,transfer_execution_mode,within_group_maximum_distance,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
,s0-step8650-f17of20-d1of4,94,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.03380102040816324,stage18-scaling-24a9adb84176,0,6,8650,94
,s0-step8650-f17of20-d1of2,95,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.03380102040816324,stage18-scaling-24a9adb84176,0,6,8650,95
,s0-step8650-f17of20-d3of4,96,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.03380102040816324,stage18-scaling-24a9adb84176,0,6,8650,96
,s0-step8650-f9of10-d1of4,97,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.02462296091104954,stage18-scaling-24a9adb84176,0,6,8650,97
,s0-step8650-f9of10-d1of2,98,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.02462296091104954,stage18-scaling-24a9adb84176,0,6,8650,98
,s0-step8650-f9of10-d3of4,99,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.02462296091104954,stage18-scaling-24a9adb84176,0,6,8650,99
,s0-step8650-f19of20-d1of4,100,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.014349489795918324,stage18-scaling-24a9adb84176,0,6,8650,100
,s0-step8650-f19of20-d1of2,101,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.014349489795918324,stage18-scaling-24a9adb84176,0,6,8650,101
,s0-step8650-f19of20-d3of4,102,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.014349489795918324,stage18-scaling-24a9adb84176,0,6,8650,102
,s0-step8650-f39of40-d1of4,103,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.016900510204081676,stage18-scaling-24a9adb84176,0,6,8650,103
,s0-step8650-f39of40-d1of2,104,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.016900510204081676,stage18-scaling-24a9adb84176,0,6,8650,104
,s0-step8650-f39of40-d3of4,105,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.016900510204081676,stage18-scaling-24a9adb84176,0,6,8650,105
,s0-step8650-f99of100-d1of4,106,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.007653061224489832,stage18-scaling-24a9adb84176,0,6,8650,106
,s0-step8650-f99of100-d1of2,107,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.007653061224489832,stage18-scaling-24a9adb84176,0,6,8650,107
,s0-step8650-f99of100-d3of4,108,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.007653061224489832,stage18-scaling-24a9adb84176,0,6,8650,108
,s0-step9050-f4of5-d1of4,109,True,1,G01,"[""C1"",""C2"",""C3""]",,,0.05,20,1,fresh_execution,0.028380102040816313,stage18-scaling-24a9adb84176,0,7,9050,109
