global_cell_index,cell_id,model_seed,checkpoint_index,checkpoint_step,checkpoint_sha256,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_cutoff,primary_cell,family_search_execution_mode,transfer_execution_mode,source_stage,source_run_id,source_manifest,source_cell_id,fresh_cell_index,worker_id,output_root,status,stopping_reason,family_size,transfer_group_status
85,s0-step8500-f39of40-d1of4,0,5,8500,,39,40,0.975,1,4,0.25,False,fresh_execution,fresh_execution,,,,,84,worker_00,results/raw/{stage18_run_id}/workers/worker_00/cells/s0-step8500-f39of40-d1of4,not_executed,,,not_evaluated
86,s0-step8500-f39of40-d1of2,0,5,8500,,39,40,0.975,1,2,0.50,False,fresh_execution,fresh_execution,,,,,85,worker_01,results/raw/{stage18_run_id}/workers/worker_01/cells/s0-step8500-f39of40-d1of2,not_executed,,,not_evaluated
87,s0-step8500-f39of40-d3of4,0,5,8500,,39,40,0.975,3,4,0.75,False,fresh_execution,fresh_execution,,,,,86,worker_02,results/raw/{stage18_run_id}/workers/worker_02/cells/s0-step8500-f39of40-d3of4,not_executed,,,not_evaluated
88,s0-step8500-f99of100-d1of4,0,5,8500,,99,100,0.990,1,4,0.25,False,fresh_execution,fresh_execution,,,,,87,worker_03,results/raw/{stage18_run_id}/workers/worker_03/cells/s0-step8500-f99of100-d1of4,not_executed,,,not_evaluated
89,s0-step8500-f99of100-d1of2,0,5,8500,,99,100,0.990,1,2,0.50,True,fresh_execution,fresh_execution,,,,,88,worker_04,results/raw/{stage18_run_id}/workers/worker_04/cells/s0-step8500-f99of100-d1of2,not_executed,,,not_evaluated
90,s0-step8500-f99of100-d3of4,0,5,8500,,99,100,0.990,3,4,0.75,False,fresh_execution,fresh_execution,,,,,89,worker_05,results/raw/{stage18_run_id}/workers/worker_05/cells/s0-step8500-f99of100-d3of4,not_executed,,,not_evaluated
91,s0-step8650-f4of5-d1of4,0,6,8650,,4,5,0.800,1,4,0.25,False,fresh_execution,fresh_execution,,,,,90,worker_06,results/raw/{stage18_run_id}/workers/worker_06/cells/s0-step8650-f4of5-d1of4,not_executed,,,not_evaluated
92,s0-step8650-f4of5-d1of2,0,6,8650,,4,5,0.800,1,2,0.50,False,fresh_execution,fresh_execution,,,,,91,worker_07,results/raw/{stage18_run_id}/workers/worker_07/cells/s0-step8650-f4of5-d1of2,not_executed,,,not_evaluated
93,s0-step8650-f4of5-d3of4,0,6,8650,,4,5,0.800,3,4,0.75,False,fresh_execution,fresh_execution,,,,,92,worker_08,results/raw/{stage18_run_id}/workers/worker_08/cells/s0-step8650-f4of5-d3of4,not_executed,,,not_evaluated
94,s0-step8650-f17of20-d1of4,0,6,8650,,17,20,0.850,1,4,0.25,False,fresh_execution,fresh_execution,,,,,93,worker_09,results/raw/{stage18_run_id}/workers/worker_09/cells/s0-step8650-f17of20-d1of4,not_executed,,,not_evaluated
