stage17_run_id,cell_index,cell_id,circuit_i,circuit_j,q1_absolute_difference,q2_absolute_difference,q3_absolute_difference,q4_absolute_difference,maximum_absolute_difference,maximum_distance_subset,same_primary_transfer_group
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,C2,C3,0.00523237919359798,0.001879699248120259,0.0031328320802004317,0.007015306122448939,0.007015306122448939,Q4,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,C2,C4,0.006463527239150446,0.0009398496240601295,0.0046992481203007586,0.0073341836734693855,0.0073341836734693855,Q4,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,C3,C4,0.001231148045552466,0.0009398496240601295,0.0015664160401003269,0.0003188775510204467,0.0015664160401003269,Q3,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,C1,C2,0.006463527239150446,0.003446115288220475,0.0006265664160400863,0.0006377551020408934,0.006463527239150446,Q1,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,C1,C3,0.001231148045552466,0.0015664160401002158,0.003759398496240518,0.007653061224489832,0.007653061224489832,Q4,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,C1,C4,0.0,0.0025062656641603454,0.005325814536340845,0.007971938775510279,0.007971938775510279,Q4,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,C1,C5,0.010772545398584188,0.007518796992481147,0.007518796992481147,0.00701530612244905,0.010772545398584188,Q1,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,C1,C6,0.003077870113881165,0.004072681704260672,0.005325814536340956,0.00956632653061218,0.00956632653061218,Q4,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,C1,C7,0.0009233610341643494,0.0028195488721803885,0.003446115288220475,0.008928571428571508,0.008928571428571508,Q4,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,C2,C3,0.00523237919359798,0.001879699248120259,0.0031328320802004317,0.007015306122448939,0.007015306122448939,Q4,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,C2,C4,0.006463527239150446,0.0009398496240601295,0.0046992481203007586,0.0073341836734693855,0.0073341836734693855,Q4,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,C2,C5,0.004309018159433742,0.004072681704260672,0.006892230576441061,0.0063775510204081565,0.006892230576441061,Q3,True
