stage17_run_id,cell_index,cell_id,requested_member_index,member_label,accepted_circuit,representative_restart_index,primary_fidelity,retained_component_count,retained_component_proportion,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,cumulative_exact_evaluations,member_exact_evaluations,member_ranking_passes,restart_count,status,failure_reason,family_right_censored,search_execution_mode
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,1,C1,True,0,0.950896702952463,108,0.20930232558139536,0,1,0.0,,6780,6780,409,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,2,C2,True,0,0.9501135562690892,105,0.20348837209302326,22,191,0.11518324607329843,0.11518324607329843,13573,6793,412,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,3,C3,True,0,0.9500352416007518,115,0.22286821705426357,30,193,0.15544041450777202,0.1447305165322365,20152,6579,402,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,4,C4,True,0,0.950896702952463,92,0.17829457364341086,9,41,0.21951219512195122,0.18260908331914824,27172,7020,425,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,5,C5,True,0,0.9501918709374266,123,0.23837209302325582,17,60,0.2833333333333333,0.19529364868034818,33631,6459,394,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,6,C6,True,0,0.9501135562690892,99,0.19186046511627908,47,160,0.29375,0.21262813832435956,40434,6803,418,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,7,C7,True,0,0.950505129610776,95,0.18410852713178294,48,155,0.3096774193548387,0.2278608543445173,47361,6927,422,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,8,C8,False,0,0.9961625812514684,352,,74,401,0.18453865336658354,,50000,2639,165,1,budget_exhaustion,requested_member_8_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,1,C1,True,0,0.9750176208003759,119,0.23062015503875968,0,1,0.0,,6599,6599,398,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,2,C2,True,0,0.9750959354687133,130,0.25193798449612403,23,226,0.10176991150442478,0.10176991150442478,13017,6418,387,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,3,C3,True,0,0.9751742501370507,151,0.2926356589147287,37,233,0.15879828326180256,0.13473511001034794,19280,6263,366,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,4,C4,True,0,0.9750176208003759,150,0.29069767441860467,23,117,0.19658119658119658,0.18778099260589534,25670,6390,367,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,5,C5,False,1,0.9992168533166262,293,,75,337,0.22255192878338279,,35670,10000,596,2,budget_exhaustion,requested_member_5_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,1,C1,True,0,0.9750176208003759,119,0.23062015503875968,0,1,0.0,,6599,6599,398,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,2,C2,True,0,0.9750959354687133,130,0.25193798449612403,23,226,0.10176991150442478,0.10176991150442478,13017,6418,387,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,3,C3,True,0,0.9751742501370507,151,0.2926356589147287,37,233,0.15879828326180256,0.13473511001034794,19280,6263,366,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,4,C4,True,0,0.9750176208003759,150,0.29069767441860467,23,117,0.19658119658119658,0.18778099260589534,25670,6390,367,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,5,C5,True,0,0.9750959354687133,145,0.2810077519379845,53,211,0.25118483412322273,0.18151484051251907,32087,6417,372,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,6,C6,True,0,0.9750176208003759,134,0.2596899224806202,59,194,0.30412371134020616,0.20484220888349594,38765,6678,383,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,7,C7,True,0,0.9750176208003759,138,0.26744186046511625,59,198,0.29797979797979796,0.21927797749133626,45111,6346,379,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,8,C8,False,0,0.9908371838045266,211,,17,72,0.2361111111111111,,50000,4889,306,1,budget_exhaustion,requested_member_8_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,1,C1,True,0,0.9750176208003759,119,0.23062015503875968,0,1,0.0,,6599,6599,398,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,2,C2,True,0,0.9750959354687133,130,0.25193798449612403,23,226,0.10176991150442478,0.10176991150442478,13017,6418,387,1,accepted,,False,fresh_execution
