cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,circuit_count,minimum_retained_components,maximum_retained_components,mean_retained_components,median_retained_components,minimum_retained_proportion,maximum_retained_proportion,mean_retained_proportion,median_retained_proportion,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
82,s0-step8500-f19of20-d1of4,19,20,0.950,1,4,0.25,6,56,60,58.333333333333336,58.5,0.10852713178294573,0.11627906976744186,0.11304909560723514,0.11337209302325582,stage18-scaling-24a9adb84176,0,5,8500,82
83,s0-step8500-f19of20-d1of2,19,20,0.950,1,2,0.50,6,56,60,58.333333333333336,58.5,0.10852713178294573,0.11627906976744186,0.11304909560723514,0.11337209302325582,stage18-scaling-24a9adb84176,0,5,8500,83
84,s0-step8500-f19of20-d3of4,19,20,0.950,3,4,0.75,6,56,60,58.333333333333336,58.5,0.10852713178294573,0.11627906976744186,0.11304909560723514,0.11337209302325582,stage18-scaling-24a9adb84176,0,5,8500,84
85,s0-step8500-f39of40-d1of4,39,40,0.975,1,4,0.25,5,63,69,65.8,66,0.12209302325581395,0.13372093023255813,0.12751937984496123,0.12790697674418605,stage18-scaling-24a9adb84176,0,5,8500,85
86,s0-step8500-f39of40-d1of2,39,40,0.975,1,2,0.50,6,63,69,65.5,65.0,0.12209302325581395,0.13372093023255813,0.12693798449612403,0.12596899224806202,stage18-scaling-24a9adb84176,0,5,8500,86
87,s0-step8500-f39of40-d3of4,39,40,0.975,3,4,0.75,6,63,69,65.5,65.0,0.12209302325581395,0.13372093023255813,0.12693798449612403,0.12596899224806202,stage18-scaling-24a9adb84176,0,5,8500,87
88,s0-step8500-f99of100-d1of4,99,100,0.990,1,4,0.25,5,75,82,77,76,0.14534883720930233,0.15891472868217055,0.1492248062015504,0.14728682170542637,stage18-scaling-24a9adb84176,0,5,8500,88
89,s0-step8500-f99of100-d1of2,99,100,0.990,1,2,0.50,7,75,82,77,76,0.14534883720930233,0.15891472868217055,0.1492248062015504,0.14728682170542637,stage18-scaling-24a9adb84176,0,5,8500,89
90,s0-step8500-f99of100-d3of4,99,100,0.990,3,4,0.75,7,75,82,77,76,0.14534883720930233,0.15891472868217055,0.1492248062015504,0.14728682170542637,stage18-scaling-24a9adb84176,0,5,8500,90
91,s0-step8650-f4of5-d1of4,4,5,0.800,1,4,0.25,5,39,46,42.6,42,0.0755813953488372,0.08914728682170543,0.08255813953488372,0.08139534883720931,stage18-scaling-24a9adb84176,0,6,8650,91
92,s0-step8650-f4of5-d1of2,4,5,0.800,1,2,0.50,6,39,46,42.166666666666664,42.0,0.0755813953488372,0.08914728682170543,0.08171834625322998,0.08139534883720931,stage18-scaling-24a9adb84176,0,6,8650,92
93,s0-step8650-f4of5-d3of4,4,5,0.800,3,4,0.75,6,39,46,42.166666666666664,42.0,0.0755813953488372,0.08914728682170543,0.08171834625322998,0.08139534883720931,stage18-scaling-24a9adb84176,0,6,8650,93
94,s0-step8650-f17of20-d1of4,17,20,0.850,1,4,0.25,6,44,48,46,46.0,0.08527131782945736,0.09302325581395349,0.08914728682170543,0.08914728682170543,stage18-scaling-24a9adb84176,0,6,8650,94
95,s0-step8650-f17of20-d1of2,17,20,0.850,1,2,0.50,6,44,48,46,46.0,0.08527131782945736,0.09302325581395349,0.08914728682170543,0.08914728682170543,stage18-scaling-24a9adb84176,0,6,8650,95
