stage18_run_id,global_cell_index,cell_id,model_seed,checkpoint_index,checkpoint_step,displayed_fidelity,displayed_jaccard_cutoff,primary_cell,family_size,empty_family,singleton_family,right_censored,search_status,stopping_reason,search_execution_mode,analysis_role,unavailable_control,included_in_stage19_universe
stage18-scaling-24a9adb84176,77,s0-step8500-f17of20-d1of2,0,5,8500,0.850,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,78,s0-step8500-f17of20-d3of4,0,5,8500,0.850,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,79,s0-step8500-f9of10-d1of4,0,5,8500,0.900,0.25,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,80,s0-step8500-f9of10-d1of2,0,5,8500,0.900,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,81,s0-step8500-f9of10-d3of4,0,5,8500,0.900,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,82,s0-step8500-f19of20-d1of4,0,5,8500,0.950,0.25,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,83,s0-step8500-f19of20-d1of2,0,5,8500,0.950,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,84,s0-step8500-f19of20-d3of4,0,5,8500,0.950,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,85,s0-step8500-f39of40-d1of4,0,5,8500,0.975,0.25,False,5,False,False,False,budget_exhaustion,requested_member_6_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,86,s0-step8500-f39of40-d1of2,0,5,8500,0.975,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,87,s0-step8500-f39of40-d3of4,0,5,8500,0.975,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,88,s0-step8500-f99of100-d1of4,0,5,8500,0.990,0.25,False,5,False,False,False,budget_exhaustion,requested_member_6_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,89,s0-step8500-f99of100-d1of2,0,5,8500,0.990,0.50,True,7,False,False,False,budget_exhaustion,requested_member_8_budget_exhaustion,fresh_execution,primary_checkpoint_matching_and_sensitivity,False,True
stage18-scaling-24a9adb84176,90,s0-step8500-f99of100-d3of4,0,5,8500,0.990,0.75,False,7,False,False,False,budget_exhaustion,requested_member_8_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,91,s0-step8650-f4of5-d1of4,0,6,8650,0.800,0.25,False,5,False,False,False,budget_exhaustion,requested_member_6_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,92,s0-step8650-f4of5-d1of2,0,6,8650,0.800,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,93,s0-step8650-f4of5-d3of4,0,6,8650,0.800,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,94,s0-step8650-f17of20-d1of4,0,6,8650,0.850,0.25,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,95,s0-step8650-f17of20-d1of2,0,6,8650,0.850,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,96,s0-step8650-f17of20-d3of4,0,6,8650,0.850,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,97,s0-step8650-f9of10-d1of4,0,6,8650,0.900,0.25,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
