record_type,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,family_size,c1_qualified,failed_requested_member_count,terminal_requested_member_index,stopping_reason,failure_category,budget_exhausted,per_cell_evaluations_used,unused_budget,ranking_passes,restart_count,invalid_output_count,search_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
cell,48,s0-step7450-f19of20-d3of4,19,20,0.950,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3107,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,48
cell,49,s0-step7450-f39of40-d1of4,39,40,0.975,1,4,0.25,4,True,1,5,requested_member_5_budget_exhaustion,budget_exhaustion,True,38825,11175,2407,6,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,49
cell,50,s0-step7450-f39of40-d1of2,39,40,0.975,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3102,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,50
cell,51,s0-step7450-f39of40-d3of4,39,40,0.975,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3102,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,51
cell,52,s0-step7450-f99of100-d1of4,99,100,0.990,1,4,0.25,4,True,1,5,requested_member_5_budget_exhaustion,budget_exhaustion,True,38076,11924,2356,6,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,52
cell,53,s0-step7450-f99of100-d1of2,99,100,0.990,1,2,0.50,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,3093,8,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,53
cell,54,s0-step7450-f99of100-d3of4,99,100,0.990,3,4,0.75,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,3093,8,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,54
cell,55,s0-step8150-f4of5-d1of4,4,5,0.800,1,4,0.25,2,True,1,3,requested_member_3_budget_exhaustion,budget_exhaustion,True,25147,24853,1567,4,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,55
cell,56,s0-step8150-f4of5-d1of2,4,5,0.800,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3115,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,56
cell,57,s0-step8150-f4of5-d3of4,4,5,0.800,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3115,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,57
