record_type,model_seed,checkpoint_step,cell_id,circuit_i,circuit_j,jaccard_overlap,displayed_jaccard_cutoff,family_size,display_unit,independent_inference_unit
distinctness_sensitivity,1,8150,s1-step8150-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,8150,s1-step8150-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,8500,s1-step8500-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,8500,s1-step8500-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,8500,s1-step8500-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,8650,s1-step8650-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,8650,s1-step8650-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,8650,s1-step8650-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,9050,s1-step9050-f99of100-d1of4,,,,0.25,3,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,9050,s1-step9050-f99of100-d1of2,,,,0.50,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,9050,s1-step9050-f99of100-d3of4,,,,0.75,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,200,s2-step200-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,200,s2-step200-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,200,s2-step200-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,3400,s2-step3400-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,3400,s2-step3400-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,3400,s2-step3400-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,7450,s2-step7450-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,7450,s2-step7450-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,7450,s2-step7450-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,8150,s2-step8150-f99of100-d1of4,,,,0.25,2,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,8150,s2-step8150-f99of100-d1of2,,,,0.50,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,8150,s2-step8150-f99of100-d3of4,,,,0.75,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,8500,s2-step8500-f99of100-d1of4,,,,0.25,3,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,8500,s2-step8500-f99of100-d1of2,,,,0.50,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,8500,s2-step8500-f99of100-d3of4,,,,0.75,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,8650,s2-step8650-f99of100-d1of4,,,,0.25,3,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,8650,s2-step8650-f99of100-d1of2,,,,0.50,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,8650,s2-step8650-f99of100-d3of4,,,,0.75,7,trained_model_seed,trained_model_seed
