stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_i,circuit_j,member_i,member_j,intersection_count,union_count,jaccard_numerator,jaccard_denominator,jaccard_overlap,structural_distance,passes_active_cutoff
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C1,C3,1,3,30,161,30,161,0.18633540372670807,0.8136645962732919,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C1,C4,1,4,39,134,39,134,0.291044776119403,0.708955223880597,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C1,C5,1,5,38,133,2,7,0.2857142857142857,0.7142857142857143,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C1,C6,1,6,28,140,1,5,0.2,0.8,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C1,C7,1,7,35,137,35,137,0.25547445255474455,0.7445255474452555,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C2,C3,2,3,18,177,6,59,0.1016949152542373,0.8983050847457628,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C2,C4,2,4,27,150,9,50,0.18,0.8200000000000001,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C2,C5,2,5,34,141,34,141,0.24113475177304963,0.7588652482269503,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C2,C6,2,6,34,138,17,69,0.2463768115942029,0.7536231884057971,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C2,C7,2,7,33,143,3,13,0.23076923076923078,0.7692307692307692,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C3,C4,3,4,28,172,7,43,0.16279069767441862,0.8372093023255813,True
