component_identifier,neuron_index,activation_mean,activation_variance,near_constant,total_non_dc_power,diagonal_power,diagonal_power_fraction,dominant_canonical_frequency_pair
N96,96,4.4211045189149365,39.1924942272849,False,500448.95878820086,51690.37598997879,0.10328800786226654,1
N97,97,2.0114995511138574,7.286906816236251,False,93046.51313652068,4838.299057868479,0.051998714350204395,56
N98,98,1.797581715769064,4.8558647289079895,False,62004.53672342609,2586.970891512068,0.04172228401691579,17
N99,99,2.3729229909778216,11.042184288125345,False,140997.65117507253,3344.57124142396,0.023720758562645182,3
N100,100,2.1809483181531277,5.787800528569788,False,73904.4249493076,4784.135555065489,0.06473408809211377,17
N101,101,1.3080690058912958,2.434194825865956,False,31082.233731482385,1010.7103128488817,0.03251729980478075,17
N102,102,4.936981497226943,53.7749622737984,False,686652.4932741317,76494.68306809424,0.11140232332565832,48
N103,103,0.9771252252895621,1.6454461812523953,False,21010.70228841183,573.7473698452347,0.027307386586581515,17
N104,104,2.6631847787999443,11.16178454836225,False,142524.82689803754,11816.713288038052,0.0829098589012267,56
N105,105,2.1013952283794772,7.36195367983605,False,94004.78653782654,3339.352537114952,0.03552321812646457,17
N106,106,3.1424871749747942,19.007451231949105,False,242706.14478075807,28025.19754521787,0.11546966629350758,56
N107,107,1.9466719048766934,7.739011626465719,False,98819.43945834077,9277.43519389503,0.09388269397951918,17
N108,108,3.291163028432919,21.84613676016933,False,278953.32029060205,31138.878343354383,0.11162755944584271,3
N109,109,2.994915205407231,19.442782565196293,False,248264.89057499147,26375.96771778236,0.10624123151966659,1
N110,110,10.471050297751617,219.6784808705083,False,2805074.52223552,353124.90463868785,0.12588788705594278,56
N111,111,3.469046805817542,19.710428608119734,False,251682.46289708078,23549.953861168764,0.0935701025414668,56
N112,112,2.817160065334984,15.379760720270394,False,196384.1646371327,13379.216257086966,0.06812777538254323,1
N113,113,3.7090509317671336,25.87120808665153,False,330349.4560584534,33727.46164159954,0.10209631353420985,3
N114,114,2.9165632300851443,15.981768495870067,False,204071.20192376483,17742.921771780733,0.086944760478301,56
N115,115,2.479076720312296,14.039968354712505,False,179276.35592132394,14864.466822561413,0.08291370463311257,1
N116,116,2.4048091371855542,9.743030471148932,False,124408.75608610071,4134.166902703793,0.033230513934586904,17
N117,117,1.2497413575709015,3.126548720413747,False,39922.90061096313,1141.6683559078394,0.02859682884851129,5
N118,118,1.6010974564338616,4.078891514728568,False,52083.365751569094,1591.7212644500412,0.030561029255335482,20
N119,119,6.991746021794297,104.33172932353396,False,1332211.851732205,148745.96575876986,0.11165338723369209,17
N120,120,3.061761692402961,12.538317189713553,False,160101.77219545236,12916.841124334582,0.08067893907236512,17
N121,121,2.381422418696199,12.095288371865914,False,154444.73722035586,9700.965631016208,0.06281188861213989,20
N122,122,0.8891176039405826,1.5171017113505192,False,19371.871752234776,754.8106638237434,0.038964260835387114,3
N123,123,5.006872146899695,50.45022251317735,False,644198.8912707617,74848.7370548643,0.11618886351576287,56
N124,124,3.064475784298809,16.601097342564643,False,211979.4119672079,8968.47914532856,0.0423082556088793,3
