cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,model_seed,checkpoint_step,primary_cell,search_execution_mode,source_stage,source_run_id,family_size,family_target,right_censored,right_censoring_status,status,stopping_reason,exact_evaluations_used,ranking_passes,restarts_attempted,accepted_circuit_count,failed_requested_member_count,budget_remaining,transfer_group_count,transfer_group_status,pair_count,minimum_pairwise_jaccard_overlap,maximum_pairwise_jaccard_overlap,mean_pairwise_overlap,median_pairwise_overlap,minimum_structural_distance,maximum_structural_distance,mean_structural_distance,cutoff_compliance,stage18_run_id,checkpoint_index,global_cell_index
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,0,7450,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3107,7,6,1,0,1,complete,15,0.12389380530973451,0.3118279569892473,0.20953052418736948,0.22,0.6881720430107527,0.8761061946902655,0.7904694758126306,True,stage18-scaling-24a9adb84176,3,47
48,s0-step7450-f19of20-d3of4,19,20,0.950,3,4,0.75,0,7450,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3107,7,6,1,0,1,complete,15,0.12389380530973451,0.3118279569892473,0.20953052418736948,0.22,0.6881720430107527,0.8761061946902655,0.7904694758126306,True,stage18-scaling-24a9adb84176,3,48
49,s0-step7450-f39of40-d1of4,39,40,0.975,1,4,0.25,0,7450,False,fresh_execution,,,4,10,False,not_right_censored,budget_exhaustion,requested_member_5_budget_exhaustion,38825,2407,6,4,1,11175,1,complete,6,0.13178294573643412,0.22727272727272727,0.17555668912689032,0.16519778643164584,0.7727272727272727,0.8682170542635659,0.8244433108731097,True,stage18-scaling-24a9adb84176,3,49
50,s0-step7450-f39of40-d1of2,39,40,0.975,1,2,0.50,0,7450,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3102,7,6,1,0,1,complete,15,0.13178294573643412,0.3106796116504854,0.20993397865488167,0.21367521367521367,0.6893203883495146,0.8682170542635659,0.7900660213451183,True,stage18-scaling-24a9adb84176,3,50
51,s0-step7450-f39of40-d3of4,39,40,0.975,3,4,0.75,0,7450,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3102,7,6,1,0,1,complete,15,0.13178294573643412,0.3106796116504854,0.20993397865488167,0.21367521367521367,0.6893203883495146,0.8682170542635659,0.7900660213451183,True,stage18-scaling-24a9adb84176,3,51
52,s0-step7450-f99of100-d1of4,99,100,0.990,1,4,0.25,0,7450,False,fresh_execution,,,4,10,False,not_right_censored,budget_exhaustion,requested_member_5_budget_exhaustion,38076,2356,6,4,1,11924,1,complete,6,0.09722222222222222,0.1678832116788321,0.12395168900412364,0.10533610533610534,0.8321167883211679,0.9027777777777778,0.8760483109958763,True,stage18-scaling-24a9adb84176,3,52
53,s0-step7450-f99of100-d1of2,99,100,0.990,1,2,0.50,0,7450,True,fresh_execution,,,7,10,False,not_right_censored,budget_exhaustion,requested_member_8_budget_exhaustion,50000,3093,8,7,1,0,1,complete,21,0.09722222222222222,0.35344827586206895,0.18234322803633835,0.17266187050359713,0.646551724137931,0.9027777777777778,0.8176567719636616,True,stage18-scaling-24a9adb84176,3,53
54,s0-step7450-f99of100-d3of4,99,100,0.990,3,4,0.75,0,7450,False,fresh_execution,,,7,10,False,not_right_censored,budget_exhaustion,requested_member_8_budget_exhaustion,50000,3093,8,7,1,0,1,complete,21,0.09722222222222222,0.35344827586206895,0.18234322803633835,0.17266187050359713,0.646551724137931,0.9027777777777778,0.8176567719636616,True,stage18-scaling-24a9adb84176,3,54
55,s0-step8150-f4of5-d1of4,4,5,0.800,1,4,0.25,0,8150,False,fresh_execution,,,2,10,False,not_right_censored,budget_exhaustion,requested_member_3_budget_exhaustion,25147,1567,4,2,1,24853,1,complete,1,0.22972972972972974,0.22972972972972974,0.22972972972972974,0.22972972972972974,0.7702702702702703,0.7702702702702703,0.7702702702702703,True,stage18-scaling-24a9adb84176,4,55
56,s0-step8150-f4of5-d1of2,4,5,0.800,1,2,0.50,0,8150,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3115,7,6,1,0,1,complete,15,0.18666666666666668,0.3382352941176471,0.24889391510786998,0.2361111111111111,0.6617647058823529,0.8133333333333334,0.75110608489213,True,stage18-scaling-24a9adb84176,4,56
57,s0-step8150-f4of5-d3of4,4,5,0.800,3,4,0.75,0,8150,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3115,7,6,1,0,1,complete,15,0.18666666666666668,0.3382352941176471,0.24889391510786998,0.2361111111111111,0.6617647058823529,0.8133333333333334,0.75110608489213,True,stage18-scaling-24a9adb84176,4,57
58,s0-step8150-f17of20-d1of4,17,20,0.850,1,4,0.25,0,8150,False,fresh_execution,,,3,10,False,not_right_censored,budget_exhaustion,requested_member_4_budget_exhaustion,32503,2023,5,3,1,17497,1,complete,3,0.12359550561797752,0.20481927710843373,0.17613826090880375,0.2,0.7951807228915663,0.8764044943820225,0.8238617390911963,True,stage18-scaling-24a9adb84176,4,58
59,s0-step8150-f17of20-d1of2,17,20,0.850,1,2,0.50,0,8150,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3112,7,6,1,0,1,complete,15,0.12359550561797752,0.3125,0.2152888019686986,0.20481927710843373,0.6875,0.8764044943820225,0.7847111980313014,True,stage18-scaling-24a9adb84176,4,59
60,s0-step8150-f17of20-d3of4,17,20,0.850,3,4,0.75,0,8150,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3112,7,6,1,0,1,complete,15,0.12359550561797752,0.3125,0.2152888019686986,0.20481927710843373,0.6875,0.8764044943820225,0.7847111980313014,True,stage18-scaling-24a9adb84176,4,60
