model_seed,checkpoint_step,metric,trajectory_value,value_status,undefined_reason,trajectory_definition,independent_unit
1,8650,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
1,8650,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
1,9050,structural_family_size,7,defined,,raw_checkpoint_value,trained_model_seed
1,9050,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
1,9050,median_pairwise_overlap,0.22264150943396227,defined,,raw_checkpoint_value,trained_model_seed
1,9050,median_circuit_size,169,defined,,raw_checkpoint_value,trained_model_seed
1,9050,mean_transfer_fidelity,0.9900531915460419607142857143,defined,,raw_checkpoint_value,trained_model_seed
1,9050,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
1,9050,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
2,200,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
2,200,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
2,200,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
2,200,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
2,200,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
2,200,matched_fidelity_structural_diversity,,undefined,no_preceding_checkpoint_for_adjacent_change,adjacent_change_right_minus_left,trained_model_seed
2,200,matched_sparsity_fidelity,,undefined,no_preceding_checkpoint_for_adjacent_change,adjacent_change_right_minus_left,trained_model_seed
2,3400,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
2,3400,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
2,3400,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
2,3400,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
2,3400,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
2,3400,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
2,3400,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
2,7450,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
2,7450,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
2,7450,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
2,7450,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
2,7450,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
2,7450,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
2,7450,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
2,8150,structural_family_size,7,defined,,raw_checkpoint_value,trained_model_seed
2,8150,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
2,8150,median_pairwise_overlap,0.26519337016574585,defined,,raw_checkpoint_value,trained_model_seed
2,8150,median_circuit_size,116,defined,,raw_checkpoint_value,trained_model_seed
2,8150,mean_transfer_fidelity,0.9903033175659790285714285714,defined,,raw_checkpoint_value,trained_model_seed
2,8150,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
