cell_id,circuit_id,cross_entropy,evaluation_subset,fidelity,ground_truth_accuracy,jensen_shannon_divergence,kl_divergence,prediction_agreement_count,source_run_id,source_stage,subset_example_count,transfer_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
s0-step7450-f4of5-d3of4,C6,1.3819875794076744,Q1,0.8390273930440135,0.8387196060326254,0.35787015499030583,1.3798526543155014,2726,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C6,1.416911657980146,Q2,0.818922305764411,0.818922305764411,0.3656867934127728,1.4150562068665713,2614,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C6,1.4169801473640895,Q3,0.8173558897243107,0.8173558897243107,0.3656590801227796,1.4151364511461288,2609,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C6,1.459640071022904,Q4,0.7860331632653061,0.7860331632653061,0.3694636594486002,1.4575283970310808,2465,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f17of20-d1of4,C1,1.2406657013897955,Q1,0.858110187750077,0.8578024007386889,0.3282127029600156,1.238766539587776,2788,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
s0-step7450-f17of20-d1of4,C1,1.2112485616856528,Q2,0.8587092731829574,0.8587092731829574,0.3236474037289451,1.2094157705600501,2741,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
s0-step7450-f17of20-d1of4,C1,1.212259493351571,Q3,0.856829573934837,0.856829573934837,0.32382252961216274,1.2104375665986393,2735,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
s0-step7450-f17of20-d1of4,C1,1.1816228968111355,Q4,0.8580994897959183,0.8580994897959183,0.3151383264729312,1.1796760406882363,2691,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
s0-step7450-f17of20-d1of4,C2,1.3279946717141535,Q1,0.8618036318867344,0.8614958448753463,0.34829165272657764,1.3260032396514752,2800,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
s0-step7450-f17of20-d1of4,C2,1.3370448304611586,Q2,0.8493107769423559,0.8493107769423559,0.35184308432902145,1.335286095497119,2711,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
s0-step7450-f17of20-d1of4,C2,1.3377320364801526,Q3,0.8483709273182958,0.8483709273182958,0.3519473225477894,1.3359643129700733,2708,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
s0-step7450-f17of20-d1of4,C2,1.324247268703291,Q4,0.8555484693877551,0.8555484693877551,0.34643033670727164,1.3222584422815553,2683,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
s0-step7450-f17of20-d1of4,C3,1.39145819459967,Q1,0.8362573099415205,0.8359495229301324,0.3612344045239014,1.389484438372139,2717,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
s0-step7450-f17of20-d1of4,C3,1.3905938160780789,Q2,0.8624686716791979,0.8624686716791979,0.3629917201608242,1.3887635106057452,2753,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
s0-step7450-f17of20-d1of4,C3,1.3910766917941415,Q3,0.8609022556390977,0.8609022556390977,0.36303264749140707,1.3892516712553071,2748,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
s0-step7450-f17of20-d1of4,C3,1.36591237542286,Q4,0.8657525510204082,0.8657525510204082,0.3550673475012668,1.3638059429144866,2715,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
s0-step7450-f17of20-d1of2,C1,1.2406657013897955,Q1,0.858110187750077,0.8578024007386889,0.3282127029600156,1.238766539587776,2788,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C1,1.2112485616856528,Q2,0.8587092731829574,0.8587092731829574,0.3236474037289451,1.2094157705600501,2741,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C1,1.212259493351571,Q3,0.856829573934837,0.856829573934837,0.32382252961216274,1.2104375665986393,2735,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C1,1.1816228968111355,Q4,0.8580994897959183,0.8580994897959183,0.3151383264729312,1.1796760406882363,2691,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C2,1.3279946717141535,Q1,0.8618036318867344,0.8614958448753463,0.34829165272657764,1.3260032396514752,2800,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C2,1.3370448304611586,Q2,0.8493107769423559,0.8493107769423559,0.35184308432902145,1.335286095497119,2711,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
