analysis_run_id,workload,record_type,cell_id,sequence_index,checkpoint_index,checkpoint_step,discovery_subset,evaluation_subset,circuit_id,source_member_index,search_status,retained_component_count,primary_fidelity,prediction_agreement_count,evaluated_example_count,exact_evaluations_used,grouping_tolerance_numerator,grouping_tolerance_denominator,grouping_tolerance,group_count,groups_json,pairwise_distances_json,scientifically_executed,raw_cell_directory
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00003400-tolerance-01000,64,1,3400,,,,,,,,,,0,1,10,0.1,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00003400/tolerance_1_10
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00007450-tolerance-00250,65,2,7450,,,,,,,,,,0,1,40,0.025,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00007450/tolerance_1_40
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00007450-tolerance-00500,66,2,7450,,,,,,,,,,0,1,20,0.05,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00007450/tolerance_1_20
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00007450-tolerance-01000,67,2,7450,,,,,,,,,,0,1,10,0.1,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00007450/tolerance_1_10
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00008150-tolerance-00250,68,3,8150,,,,,,,,,,0,1,40,0.025,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00008150/tolerance_1_40
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00008150-tolerance-00500,69,3,8150,,,,,,,,,,0,1,20,0.05,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00008150/tolerance_1_20
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00008150-tolerance-01000,70,3,8150,,,,,,,,,,0,1,10,0.1,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00008150/tolerance_1_10
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00008500-tolerance-00250,71,4,8500,,,,,,,,,,0,1,40,0.025,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00008500/tolerance_1_40
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00008500-tolerance-00500,72,4,8500,,,,,,,,,,0,1,20,0.05,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00008500/tolerance_1_20
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00008500-tolerance-01000,73,4,8500,,,,,,,,,,0,1,10,0.1,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00008500/tolerance_1_10
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00008650-tolerance-00250,74,5,8650,,,,,,,,,,0,1,40,0.025,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00008650/tolerance_1_40
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00008650-tolerance-00500,75,5,8650,,,,,,,,,,0,1,20,0.05,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00008650/tolerance_1_20
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00008650-tolerance-01000,76,5,8650,,,,,,,,,,0,1,10,0.1,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00008650/tolerance_1_10
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00009050-tolerance-00250,77,6,9050,,,,,,,,,,0,1,40,0.025,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00009050/tolerance_1_40
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00009050-tolerance-00500,78,6,9050,,,,,,,,,,0,1,20,0.05,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00009050/tolerance_1_20
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00009050-tolerance-01000,79,6,9050,,,,,,,,,,0,1,10,0.1,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00009050/tolerance_1_10
