stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,distinctness_numerator,distinctness_denominator,search_execution_mode,source_stage,source_run_id,requested_member_index,restart_index,restart_used,seed_integer,seed_sha256_digest,outcome_status,accepted_candidate,search_status,stopping_reason,failure_detail,retained_component_count,primary_fidelity,maximum_pairwise_overlap_numerator,maximum_pairwise_overlap_denominator,maximum_pairwise_overlap,exact_evaluation_budget,exact_evaluations_used,ranking_passes_used,candidate_batches_tested,rejected_candidate_count,budget_remaining,budget_exhausted,locally_single_deletion_minimal,meaningfully_sparse
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,1,2,fresh_execution,,,5,0,True,2111434523,7dd9ef1bc0f2cbed0ba239eb4a5d10a41755ae719e588e4a48f604da286a4cd5,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,89,0.9002271125381784,2,7,0.2857142857142857,10000,7033,428,440,6606,2967,False,True,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,1,2,fresh_execution,,,6,0,True,296572439,11ad56173f0275a7354c549fcf1db6840e375173923cf86014b3d36d60409f95,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,86,0.900148797869841,17,69,0.2463768115942029,10000,7030,431,440,6600,2970,False,True,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,1,2,fresh_execution,,,7,0,True,395944236,1799a12cebc92cd17308de9d8cc317043ab0d50531ee23f630c1433c2655dc61,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,90,0.9010885738898896,35,137,0.25547445255474455,8337,6922,427,433,6496,1415,False,True,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,1,2,fresh_execution,,,8,0,True,1368112833,518bbec1ebf1f1d43949c41300f885c8436d44d07adae7e1ce757d15074be04d,budget_exhaustion,False,budget_exhaustion,budget_exhausted_inside_candidate_batch,,428,0.9994517973216384,86,451,0.19068736141906872,1415,1415,89,89,1327,0,True,False,False
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,3,4,fresh_execution,,,1,0,True,,,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,82,0.9003054272065157,0,1,0.0,10000,7042,435,441,6608,2958,False,True,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,3,4,fresh_execution,,,2,0,True,3326708251,c6498a1b9fa4d4ed3191bc13c4c1ce9abb7a3a500b1e3293b9bfeaa2896e5019,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,86,0.9000704832015036,11,73,0.1506849315068493,10000,6982,431,437,6552,3018,False,True,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,3,4,fresh_execution,,,3,0,True,626619067,255972bbd5d55eb9b4d047e7c1fe7f0751a54bcfa76b3a054ae3ef6055562c67,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,109,0.9002271125381784,30,161,0.18633540372670807,10000,6621,408,414,6214,3379,False,True,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,3,4,fresh_execution,,,4,0,True,3199715378,beb7c8323a354015a8c959720ce22efc9508d07aa7ea0df30e5924d3d5a6ec33,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,91,0.900148797869841,39,134,0.291044776119403,10000,6955,426,435,6530,3045,False,True,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,3,4,fresh_execution,,,5,0,True,2111434523,7dd9ef1bc0f2cbed0ba239eb4a5d10a41755ae719e588e4a48f604da286a4cd5,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,89,0.9002271125381784,2,7,0.2857142857142857,10000,7033,428,440,6606,2967,False,True,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,3,4,fresh_execution,,,6,0,True,296572439,11ad56173f0275a7354c549fcf1db6840e375173923cf86014b3d36d60409f95,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,86,0.900148797869841,17,69,0.2463768115942029,10000,7030,431,440,6600,2970,False,True,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,3,4,fresh_execution,,,7,0,True,395944236,1799a12cebc92cd17308de9d8cc317043ab0d50531ee23f630c1433c2655dc61,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,90,0.9010885738898896,35,137,0.25547445255474455,8337,6922,427,433,6496,1415,False,True,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,3,4,fresh_execution,,,8,0,True,1368112833,518bbec1ebf1f1d43949c41300f885c8436d44d07adae7e1ce757d15074be04d,budget_exhaustion,False,budget_exhaustion,budget_exhausted_inside_candidate_batch,,428,0.9994517973216384,86,451,0.19068736141906872,1415,1415,89,89,1327,0,True,False,False
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,1,4,fresh_execution,,,1,0,True,,,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,108,0.950896702952463,0,1,0.0,10000,6780,409,424,6372,3220,False,True,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,1,4,fresh_execution,,,2,0,True,3326708251,c6498a1b9fa4d4ed3191bc13c4c1ce9abb7a3a500b1e3293b9bfeaa2896e5019,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,105,0.9501135562690892,22,191,0.11518324607329843,10000,6793,412,425,6382,3207,False,True,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,1,4,fresh_execution,,,3,0,True,626619067,255972bbd5d55eb9b4d047e7c1fe7f0751a54bcfa76b3a054ae3ef6055562c67,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,115,0.9500352416007518,30,193,0.15544041450777202,10000,6579,402,412,6178,3421,False,True,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,1,4,fresh_execution,,,4,0,True,3199715378,beb7c8323a354015a8c959720ce22efc9508d07aa7ea0df30e5924d3d5a6ec33,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,92,0.950896702952463,9,41,0.21951219512195122,10000,7020,425,439,6596,2980,False,True,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,1,4,fresh_execution,,,5,0,True,2111434523,7dd9ef1bc0f2cbed0ba239eb4a5d10a41755ae719e588e4a48f604da286a4cd5,distinctness_failure,False,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,123,0.9501918709374266,17,60,0.2833333333333333,10000,6459,394,404,6066,3541,False,True,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,1,4,fresh_execution,,,5,1,True,722564848,2b1176f024966d7d480e8bf9d7bb2d41a67fa8e4c192f797a556043d1290be65,budget_exhaustion,False,budget_exhaustion,budget_exhausted_inside_candidate_batch,,295,0.9960059519147937,63,340,0.18529411764705883,3541,3541,222,222,3320,0,True,False,False
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,1,2,fresh_execution,,,1,0,True,,,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,108,0.950896702952463,0,1,0.0,10000,6780,409,424,6372,3220,False,True,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,1,2,fresh_execution,,,2,0,True,3326708251,c6498a1b9fa4d4ed3191bc13c4c1ce9abb7a3a500b1e3293b9bfeaa2896e5019,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,105,0.9501135562690892,22,191,0.11518324607329843,10000,6793,412,425,6382,3207,False,True,True
