stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_id,family_member_index,retained_heads,retained_neurons,retained_components,retained_proportion,fidelity,agreement_count,evaluated_example_count,threshold_pass,ground_truth_accuracy,cross_entropy,kl_divergence,jensen_shannon_divergence,local_single_deletion_minimality,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,mask_sha256,exact_evaluation_count,ranking_passes,selected_restart
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C6,6,4,82,86,0.16666666666666666,0.900148797869841,11494,12769,True,0.900148797869841,0.4094046588892575,0.40583770821889004,0.1152990897969542,True,17,69,0.2463768115942029,0.19928180658960964,aec64f3580fa816c22c08952f7257539b27fba4ccc77f333e092658c0140686b,7030,431,0
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C7,7,4,86,90,0.1744186046511628,0.9010885738898896,11506,12769,True,0.9008536298848774,0.4096166805126468,0.4057268188132827,0.11492861099846786,True,35,137,0.25547445255474455,0.21748409215144515,2012d728213ca65da964c22ab6b975233f93bf186209ac34bc4879f2ac5aca74,6922,427,0
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C1,1,4,78,82,0.15891472868217055,0.9003054272065157,11496,12769,True,0.8999921685331662,0.3809693600525678,0.3772179271599095,0.10761764985579339,True,0,1,0.0,,91e2f13a982f3cd5632a9ae17900c6ca64184af5aee1a50a30af792392ee060b,7042,435,0
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C2,2,4,82,86,0.16666666666666666,0.9000704832015036,11493,12769,True,0.9002271125381784,0.4174279849076975,0.4140574773429258,0.11865850883317704,True,11,73,0.1506849315068493,0.1506849315068493,b3398f90acd93975ed112fbba0a34d47aada96a664076dbba2ebce9f59d60c8d,6982,431,0
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C3,3,4,105,109,0.21124031007751937,0.9002271125381784,11495,12769,True,0.9000704832015036,0.39984324979939184,0.3965151747221486,0.11255915156533412,True,30,161,0.18633540372670807,0.14401515949047267,4d2ceb926f318071d7f8b35cc38fd88506d0bbb50cd00665313aff453b742b4d,6621,408,0
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C4,4,4,87,91,0.17635658914728683,0.900148797869841,11494,12769,True,0.900148797869841,0.3972263228687309,0.3938758287993017,0.11230203094663035,True,39,134,0.291044776119403,0.2112784912646072,1dca603526d31b23704e24e277dd698840c8b4eff3f295dcc7588d66564a2039,6955,426,0
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C5,5,4,85,89,0.17248062015503876,0.9002271125381784,11495,12769,True,0.8999138538648289,0.4208056579730335,0.4171659780724821,0.11914138562623913,True,2,7,0.2857142857142857,0.23200295704625243,78051e649e97b047ab710834bdaeaf6284d25e7c54a5639b9cb34b0114c85569,7033,428,0
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C6,6,4,82,86,0.16666666666666666,0.900148797869841,11494,12769,True,0.900148797869841,0.4094046588892575,0.40583770821889004,0.1152990897969542,True,17,69,0.2463768115942029,0.19928180658960964,aec64f3580fa816c22c08952f7257539b27fba4ccc77f333e092658c0140686b,7030,431,0
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C7,7,4,86,90,0.1744186046511628,0.9010885738898896,11506,12769,True,0.9008536298848774,0.4096166805126468,0.4057268188132827,0.11492861099846786,True,35,137,0.25547445255474455,0.21748409215144515,2012d728213ca65da964c22ab6b975233f93bf186209ac34bc4879f2ac5aca74,6922,427,0
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C1,1,4,104,108,0.20930232558139536,0.950896702952463,12142,12769,True,0.9505834442791135,0.23088000813250406,0.22737808174101037,0.06777957392772437,True,0,1,0.0,,be465e02768cf7eda8127f8c0c91b0905eefd6c6942941c6116ba0dd15c03898,6780,409,0
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C2,2,4,101,105,0.20348837209302326,0.9501135562690892,12132,12769,True,0.9498002975957397,0.2782523706098551,0.2748641098911278,0.08265809438282057,True,22,191,0.11518324607329843,0.11518324607329843,2d095c35800672218887626f482460a5a5a0f7c45a0d92f9cc694b152358d52c,6793,412,0
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C3,3,4,111,115,0.22286821705426357,0.9500352416007518,12131,12769,True,0.9497219829274023,0.22926289012038023,0.22584056829195204,0.06718396572132733,True,30,193,0.15544041450777202,0.1447305165322365,cd8333e808d2dbf2898bdff722843c2be87163fc0d6eef631911b33cf7f923cd,6579,402,0
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C4,4,4,88,92,0.17829457364341086,0.950896702952463,12142,12769,True,0.9510533322891378,0.2559741379336996,0.2529324156346878,0.0760405836338805,True,9,41,0.21951219512195122,0.18260908331914824,f3eb38db988b8e14db8182582e21ce9e23a6a8371e14a578450d6f9aa1830491,7020,425,0
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C1,1,4,104,108,0.20930232558139536,0.950896702952463,12142,12769,True,0.9505834442791135,0.23088000813250406,0.22737808174101037,0.06777957392772437,True,0,1,0.0,,be465e02768cf7eda8127f8c0c91b0905eefd6c6942941c6116ba0dd15c03898,6780,409,0
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C2,2,4,101,105,0.20348837209302326,0.9501135562690892,12132,12769,True,0.9498002975957397,0.2782523706098551,0.2748641098911278,0.08265809438282057,True,22,191,0.11518324607329843,0.11518324607329843,2d095c35800672218887626f482460a5a5a0f7c45a0d92f9cc694b152358d52c,6793,412,0
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C3,3,4,111,115,0.22286821705426357,0.9500352416007518,12131,12769,True,0.9497219829274023,0.22926289012038023,0.22584056829195204,0.06718396572132733,True,30,193,0.15544041450777202,0.1447305165322365,cd8333e808d2dbf2898bdff722843c2be87163fc0d6eef631911b33cf7f923cd,6579,402,0
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C4,4,4,88,92,0.17829457364341086,0.950896702952463,12142,12769,True,0.9510533322891378,0.2559741379336996,0.2529324156346878,0.0760405836338805,True,9,41,0.21951219512195122,0.18260908331914824,f3eb38db988b8e14db8182582e21ce9e23a6a8371e14a578450d6f9aa1830491,7020,425,0
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C5,5,4,119,123,0.23837209302325582,0.9501918709374266,12133,12769,True,0.9501918709374266,0.234474112795708,0.23158135834339427,0.06956288982027374,True,17,60,0.2833333333333333,0.19529364868034818,3f2c459c8c1be86c073150095cce0b63dbce78281bd06e0853aaec478e9db952,6459,394,0
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C6,6,4,95,99,0.19186046511627908,0.9501135562690892,12132,12769,True,0.9502701856057639,0.24775631670359455,0.24483330451065655,0.07354335796223203,True,47,160,0.29375,0.21262813832435956,f9c9b86ab4f8b6c56c579b8c49f34078e9a0892fecb64d309a9543c5c837bb6b,6803,418,0
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C7,7,4,91,95,0.18410852713178294,0.950505129610776,12137,12769,True,0.9501918709374266,0.26174640904998797,0.2585006533418698,0.07784718747210959,True,48,155,0.3096774193548387,0.2278608543445173,da39f63452a165d5382fdd4db096ad7254ca457076ad81c4571453ff8dbb3deb,6927,422,0
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,19,20,0.950,3,4,0.75,fresh_execution,,,C1,1,4,104,108,0.20930232558139536,0.950896702952463,12142,12769,True,0.9505834442791135,0.23088000813250406,0.22737808174101037,0.06777957392772437,True,0,1,0.0,,be465e02768cf7eda8127f8c0c91b0905eefd6c6942941c6116ba0dd15c03898,6780,409,0
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,19,20,0.950,3,4,0.75,fresh_execution,,,C2,2,4,101,105,0.20348837209302326,0.9501135562690892,12132,12769,True,0.9498002975957397,0.2782523706098551,0.2748641098911278,0.08265809438282057,True,22,191,0.11518324607329843,0.11518324607329843,2d095c35800672218887626f482460a5a5a0f7c45a0d92f9cc694b152358d52c,6793,412,0
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,19,20,0.950,3,4,0.75,fresh_execution,,,C3,3,4,111,115,0.22286821705426357,0.9500352416007518,12131,12769,True,0.9497219829274023,0.22926289012038023,0.22584056829195204,0.06718396572132733,True,30,193,0.15544041450777202,0.1447305165322365,cd8333e808d2dbf2898bdff722843c2be87163fc0d6eef631911b33cf7f923cd,6579,402,0
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,19,20,0.950,3,4,0.75,fresh_execution,,,C4,4,4,88,92,0.17829457364341086,0.950896702952463,12142,12769,True,0.9510533322891378,0.2559741379336996,0.2529324156346878,0.0760405836338805,True,9,41,0.21951219512195122,0.18260908331914824,f3eb38db988b8e14db8182582e21ce9e23a6a8371e14a578450d6f9aa1830491,7020,425,0
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,19,20,0.950,3,4,0.75,fresh_execution,,,C5,5,4,119,123,0.23837209302325582,0.9501918709374266,12133,12769,True,0.9501918709374266,0.234474112795708,0.23158135834339427,0.06956288982027374,True,17,60,0.2833333333333333,0.19529364868034818,3f2c459c8c1be86c073150095cce0b63dbce78281bd06e0853aaec478e9db952,6459,394,0
