model_seed,checkpoint_step,cell_id,exact_evaluations_used,ranking_passes,restarts_attempted
1,8650,s1-step8650-f4of5-d1of2,50000,2928,9
1,8650,s1-step8650-f4of5-d3of4,50000,2928,9
1,8650,s1-step8650-f17of20-d1of4,21359,1194,4
1,8650,s1-step8650-f17of20-d1of2,50000,2732,9
1,8650,s1-step8650-f17of20-d3of4,50000,2732,9
1,8650,s1-step8650-f9of10-d1of4,21562,1052,4
1,8650,s1-step8650-f9of10-d1of2,50000,2318,9
1,8650,s1-step8650-f9of10-d3of4,50000,2318,9
1,8650,s1-step8650-f19of20-d1of4,4850,195,1
1,8650,s1-step8650-f19of20-d1of2,4850,195,1
1,8650,s1-step8650-f19of20-d3of4,4850,195,1
1,8650,s1-step8650-f39of40-d1of4,5071,118,1
1,8650,s1-step8650-f39of40-d1of2,5071,118,1
1,8650,s1-step8650-f39of40-d3of4,5071,118,1
1,8650,s1-step8650-f99of100-d1of4,1549,24,1
1,8650,s1-step8650-f99of100-d1of2,1549,24,1
1,8650,s1-step8650-f99of100-d3of4,1549,24,1
1,9050,s1-step9050-f4of5-d1of4,31782,1956,5
1,9050,s1-step9050-f4of5-d1of2,50000,3086,7
1,9050,s1-step9050-f4of5-d3of4,50000,3086,7
1,9050,s1-step9050-f17of20-d1of4,24255,1493,4
1,9050,s1-step9050-f17of20-d1of2,50000,3087,7
1,9050,s1-step9050-f17of20-d3of4,50000,3087,7
1,9050,s1-step9050-f9of10-d1of4,30645,1891,5
1,9050,s1-step9050-f9of10-d1of2,50000,3075,8
1,9050,s1-step9050-f9of10-d3of4,50000,3075,8
1,9050,s1-step9050-f19of20-d1of4,37172,2264,6
1,9050,s1-step9050-f19of20-d1of2,50000,3047,8
1,9050,s1-step9050-f19of20-d3of4,50000,3047,8
1,9050,s1-step9050-f39of40-d1of4,35670,2114,6
1,9050,s1-step9050-f39of40-d1of2,50000,2958,8
1,9050,s1-step9050-f39of40-d3of4,50000,2958,8
1,9050,s1-step9050-f99of100-d1of4,28292,1647,5
1,9050,s1-step9050-f99of100-d1of2,50000,2782,8
1,9050,s1-step9050-f99of100-d3of4,50000,2782,8
2,200,s2-step200-f4of5-d1of4,1934,23,1
2,200,s2-step200-f4of5-d1of2,1934,23,1
2,200,s2-step200-f4of5-d3of4,1934,23,1
2,200,s2-step200-f17of20-d1of4,1399,14,1
