cell_index,cell_id,requested_member_index,member_label,accepted_circuit,representative_restart_index,primary_fidelity,retained_component_count,retained_component_proportion,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,cumulative_exact_evaluations,member_exact_evaluations,member_ranking_passes,restart_count,status,failure_reason,family_right_censored,search_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
40,s0-step7450-f17of20-d1of4,1,C1,True,0,0.8579371916359935,50,0.09689922480620156,0,1,0.0,,7506,7506,467,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
40,s0-step7450-f17of20-d1of4,2,C2,True,0,0.8537865142141123,51,0.09883720930232558,12,89,0.1348314606741573,0.1348314606741573,14997,7491,466,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
40,s0-step7450-f17of20-d1of4,3,C3,True,0,0.856214268932571,48,0.09302325581395349,19,79,0.24050632911392406,0.2095388788426763,22533,7536,469,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
40,s0-step7450-f17of20-d1of4,4,C4,False,1,1.0,359,,40,369,0.10840108401084012,,32533,10000,623,2,budget_exhaustion,requested_member_4_budget_exhaustion,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
41,s0-step7450-f17of20-d1of2,1,C1,True,0,0.8579371916359935,50,0.09689922480620156,0,1,0.0,,7506,7506,467,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,2,C2,True,0,0.8537865142141123,51,0.09883720930232558,12,89,0.1348314606741573,0.1348314606741573,14997,7491,466,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,3,C3,True,0,0.856214268932571,48,0.09302325581395349,19,79,0.24050632911392406,0.2095388788426763,22533,7536,469,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,4,C4,True,0,0.8562925836009084,52,0.10077519379844961,4,13,0.3076923076923077,0.23672866780179752,30009,7476,465,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,5,C5,True,0,0.8545696608974861,54,0.10465116279069768,1,3,0.3333333333333333,0.2798893988653025,37455,7446,463,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,6,C6,True,0,0.8607565196961391,49,0.09496124031007752,23,76,0.3026315789473684,0.24790260155933375,44976,7521,468,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
