accepted_candidate,budget_exhausted,budget_remaining,candidate_batches_tested,cell_id,cell_index,distinctness_denominator,distinctness_numerator,exact_evaluation_budget,exact_evaluations_used,failure_detail,fidelity_denominator,fidelity_numerator,locally_single_deletion_minimal,maximum_pairwise_overlap,maximum_pairwise_overlap_denominator,maximum_pairwise_overlap_numerator,meaningfully_sparse,outcome_status,primary_fidelity,ranking_passes_used,rejected_candidate_count,requested_member_index,restart_index,restart_used,retained_component_count,search_execution_mode,search_status,seed_integer,seed_sha256_digest,source_run_id,source_stage,stopping_reason,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
True,False,2449,472,s0-step7450-f4of5-d3of4,39,4,3,10000,7551,,5,4,True,0.323943661971831,71,23,True,valid_distinct_candidate,0.807737489231733,470,7082,5,0,True,47,fresh_execution,valid_sparse_circuit,2647712329,9dd0e249e74c624517594ef30744052cc9617d2389d66a6a80068a6361871547,,,locally_single_deletion_minimal_sparse_mask,stage18-scaling-24a9adb84176,0,3,7450,39
True,False,2479,471,s0-step7450-f4of5-d3of4,39,4,3,10000,7521,,5,4,True,0.24675324675324675,77,19,True,valid_distinct_candidate,0.8155689560654711,468,7054,6,0,True,49,fresh_execution,valid_sparse_circuit,847374800,3281e9d0f5ff74e24b8a54c3712300a90fb09e7999c31250a7757b843b7288e3,,,locally_single_deletion_minimal_sparse_mask,stage18-scaling-24a9adb84176,0,3,7450,39
False,True,0,296,s0-step7450-f4of5-d3of4,39,4,3,4724,4724,,5,4,False,0.12605042016806722,119,15,True,budget_exhaustion,0.9999216853316626,296,4429,7,0,True,221,fresh_execution,budget_exhaustion,551680701,20e1fabd7b4291fb11f7860c704dd70baae33fa2fcdacc97c52f599f85e15b72,,,budget_exhausted_inside_candidate_batch,stage18-scaling-24a9adb84176,0,3,7450,39
True,False,2494,470,s0-step7450-f17of20-d1of4,40,4,1,10000,7506,,20,17,True,0.0,1,0,True,valid_distinct_candidate,0.8579371916359935,467,7040,1,0,True,50,fresh_execution,valid_sparse_circuit,,,,,locally_single_deletion_minimal_sparse_mask,stage18-scaling-24a9adb84176,0,3,7450,40
True,False,2509,469,s0-step7450-f17of20-d1of4,40,4,1,10000,7491,,20,17,True,0.1348314606741573,89,12,True,valid_distinct_candidate,0.8537865142141123,466,7026,2,0,True,51,fresh_execution,valid_sparse_circuit,2201230925,83341e4d997be6741928e5ba753697b9362d1c6ad50ec57dbcd9ac152da1361a,,,locally_single_deletion_minimal_sparse_mask,stage18-scaling-24a9adb84176,0,3,7450,40
True,False,2464,471,s0-step7450-f17of20-d1of4,40,4,1,10000,7536,,20,17,True,0.24050632911392406,79,19,True,valid_distinct_candidate,0.856214268932571,469,7068,3,0,True,48,fresh_execution,valid_sparse_circuit,3569438268,d4c14e3c9a49c39cc79e96a27bf1afdd0440e58e0c05dbdbbde795bdc0c1d38b,,,locally_single_deletion_minimal_sparse_mask,stage18-scaling-24a9adb84176,0,3,7450,40
False,False,2524,468,s0-step7450-f17of20-d1of4,40,4,1,10000,7476,,20,17,True,0.3076923076923077,13,4,True,distinctness_failure,0.8562925836009084,465,7012,4,0,True,52,fresh_execution,valid_sparse_circuit,3988005954,edb42442235d7b61d53fa0c5a1c51f5bb23b6aa4da6e04a4ecf9a8c69fc8c9fd,,,locally_single_deletion_minimal_sparse_mask,stage18-scaling-24a9adb84176,0,3,7450,40
False,True,0,158,s0-step7450-f17of20-d1of4,40,4,1,2524,2524,,20,17,False,0.10840108401084012,369,40,False,budget_exhaustion,1.0,158,2367,4,1,True,359,fresh_execution,budget_exhaustion,3211861658,bf711e9a0d6c03543d5c2734d99617d74aea020913ad4eec07008e38b0875683,,,budget_exhausted_inside_candidate_batch,stage18-scaling-24a9adb84176,0,3,7450,40
True,False,2494,470,s0-step7450-f17of20-d1of2,41,2,1,10000,7506,,20,17,True,0.0,1,0,True,valid_distinct_candidate,0.8579371916359935,467,7040,1,0,True,50,fresh_execution,valid_sparse_circuit,,,,,locally_single_deletion_minimal_sparse_mask,stage18-scaling-24a9adb84176,0,3,7450,41
True,False,2509,469,s0-step7450-f17of20-d1of2,41,2,1,10000,7491,,20,17,True,0.1348314606741573,89,12,True,valid_distinct_candidate,0.8537865142141123,466,7026,2,0,True,51,fresh_execution,valid_sparse_circuit,2201230925,83341e4d997be6741928e5ba753697b9362d1c6ad50ec57dbcd9ac152da1361a,,,locally_single_deletion_minimal_sparse_mask,stage18-scaling-24a9adb84176,0,3,7450,41
