cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_i,circuit_j,member_i,member_j,intersection_count,union_count,jaccard_numerator,jaccard_denominator,jaccard_overlap,structural_distance,passes_active_cutoff,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C1,C5,1,5,24,86,12,43,0.27906976744186046,0.7209302325581395,True,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C1,C6,1,6,28,82,14,41,0.34146341463414637,0.6585365853658536,True,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C2,C3,2,3,18,95,18,95,0.18947368421052632,0.8105263157894737,True,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C2,C4,2,4,13,100,13,100,0.13,0.87,True,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C2,C5,2,5,25,85,5,17,0.29411764705882354,0.7058823529411764,True,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C2,C6,2,6,24,86,12,43,0.27906976744186046,0.7209302325581395,True,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C3,C4,3,4,17,101,17,101,0.16831683168316833,0.8316831683168316,True,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C3,C5,3,5,16,99,16,99,0.16161616161616163,0.8383838383838383,True,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C3,C6,3,6,19,96,19,96,0.19791666666666666,0.8020833333333334,True,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C4,C5,4,5,16,99,16,99,0.16161616161616163,0.8383838383838383,True,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C4,C6,4,6,19,96,19,96,0.19791666666666666,0.8020833333333334,True,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C5,C6,5,6,23,89,23,89,0.25842696629213485,0.7415730337078652,True,stage18-scaling-24a9adb84176,0,3,7450,45
46,s0-step7450-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C1,C2,1,2,14,113,14,113,0.12389380530973451,0.8761061946902655,True,stage18-scaling-24a9adb84176,0,3,7450,46
46,s0-step7450-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C1,C3,1,3,23,99,23,99,0.23232323232323232,0.7676767676767677,True,stage18-scaling-24a9adb84176,0,3,7450,46
46,s0-step7450-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C2,C3,2,3,15,114,5,38,0.13157894736842105,0.868421052631579,True,stage18-scaling-24a9adb84176,0,3,7450,46
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C1,C2,1,2,14,113,14,113,0.12389380530973451,0.8761061946902655,True,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C1,C3,1,3,23,99,23,99,0.23232323232323232,0.7676767676767677,True,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C1,C4,1,4,25,95,5,19,0.2631578947368421,0.736842105263158,True,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C1,C5,1,5,29,93,29,93,0.3118279569892473,0.6881720430107527,True,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C1,C6,1,6,25,98,25,98,0.25510204081632654,0.7448979591836735,True,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C2,C3,2,3,15,114,5,38,0.13157894736842105,0.868421052631579,True,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C2,C4,2,4,18,109,18,109,0.1651376146788991,0.8348623853211009,True,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C2,C5,2,5,18,111,6,37,0.16216216216216217,0.8378378378378378,True,stage18-scaling-24a9adb84176,0,3,7450,47
